Item Code,Product Type,Image Url,FlowerWyz Image Url,COMMON
S47-4553,FB,https://www.floristone.com/flowers/products/S47-4553.jpg,https://www.flowerwyz.com/images/peace-love-and-light.jpg,1000
F1-354,FB,https://www.floristone.com/flowers/products/F1-354.jpg,https://www.flowerwyz.com/images/funeral-flower-delivery.jpg,1000
B19-4387,R,https://www.floristone.com/flowers/products/B19-4387.jpg,https://www.flowerwyz.com/images/valentines-day-giftpack.jpg,1000
B25-4126,C,https://www.floristone.com/flowers/products/B25-4126.jpg,https://www.flowerwyz.com/images/wedding-anniversary-flower.jpg,1000
B25-4401,V,https://www.floristone.com/flowers/products/B25-4401.jpg,https://www.flowerwyz.com/images/online-birthday-gifts.jpg,1000
C28-4890,P,https://www.floristone.com/flowers/products/C28-4890.jpg,https://www.flowerwyz.com/images/exotic-plants.jpg,1000
AFS261,C,https://www.floristone.com/flowers/products/AFS261.jpg,https://www.flowerwyz.com/files/flower-delivery-coupons.jpg,1000
F1-122,R,https://www.floristone.com/flowers/products/F1-122.jpg,https://www.flowerwyz.com/files/30th-anniversary-flowers.jpg,1000
F1-2111,FB,https://www.floristone.com/flowers/products/F1-2111.jpg,https://www.flowerwyz.com/images/floral-arrangements-for-funerals.jpg,1000
T106-1A,P,https://www.floristone.com/flowers/products/T106-1A.jpg,https://www.flowerwyz.com/images/plant-delivery-online.jpg,1000
B25-4390,V,https://www.floristone.com/flowers/products/B25-4390.jpg,https://www.flowerwyz.com/images/flower-delivery-next-day.jpg,1000
AFS206,C,https://www.floristone.com/flowers/products/AFS206.jpg,https://www.flowerwyz.com/files/flowers-free-delivery.jpg,1000
fam105,R,https://www.floristone.com/flowers/products/fam105.jpg,https://www.flowerwyz.com/files/affordable-flower-delivery.jpg,1000
B2-4922,V,https://www.floristone.com/flowers/products/B2-4922.jpg,https://www.flowerwyz.com/images/flowers-tomorrow.jpg,1000
T100-3A,P,https://www.floristone.com/flowers/products/T100-3A.jpg,https://www.flowerwyz.com/images/online-plant-delivery.jpg,1000
T232-1A,FB,https://www.floristone.com/flowers/products/T232-1A.jpg,,1000
AFS353,P,https://www.floristone.com/flowers/products/AFS353.jpg,https://www.flowerwyz.com/images/plant-gifts.jpg,1000
F1-218,FB,https://www.floristone.com/flowers/products/F1-218.jpg,https://www.flowerwyz.com/images/sympathy-gift-baskets.jpg,1000
T10-3A,C,https://www.floristone.com/flowers/products/T10-3A.jpg,https://www.flowerwyz.com/images/valentine-gift-basket.jpg,1000
fam103,R,https://www.floristone.com/flowers/products/fam103.jpg,,1000
B23-4800,V,https://www.floristone.com/flowers/products/B23-4800.jpg,https://www.flowerwyz.com/images/flower-delivery-tomorrow.jpg,1000
T10-1A,C,https://www.floristone.com/flowers/products/T10-1A.jpg,https://www.flowerwyz.com/images/flower-centerpieces.jpg,1000
fam102,R,https://www.floristone.com/flowers/products/fam102.jpg,https://www.flowerwyz.com/images/5th-anniversary-flowers.jpg,1000
S2-4438,FB,https://www.floristone.com/flowers/products/S2-4438.jpg,https://www.flowerwyz.com/images/sympathy-flowers.jpg,1000
T106-2A,P,https://www.floristone.com/flowers/products/T106-2A.jpg,https://www.flowerwyz.com/images/deliver-plants.jpg,1000
B22-4801,V,https://www.floristone.com/flowers/products/B22-4801.jpg,https://www.flowerwyz.com/images/next-day-flowers-delivery.jpg,1000
T18-3A,C,https://www.floristone.com/flowers/products/T18-3A.jpg,https://www.flowerwyz.com/images/dining-table-centerpieces.jpg,1000
fam109,R,https://www.floristone.com/flowers/products/fam109.jpg,,1000
T105-1A,P,https://www.floristone.com/flowers/products/T105-1A.jpg,https://www.flowerwyz.com/images/best-plant-delivery.jpg,1000
B20-4798,V,https://www.floristone.com/flowers/products/B20-4798.jpg,https://www.flowerwyz.com/images/send-flowers-next-day.jpg,1000
S33-4513,FS,https://www.floristone.com/flowers/products/S33-4513.jpg,https://www.flowerwyz.com/images/funeral-flowers-online.jpg,1000
T9-3A,R,https://www.floristone.com/flowers/products/T9-3A.jpg,https://www.flowerwyz.com/images/valentine-gifts.jpg,1000
fam115,R,https://www.floristone.com/flowers/products/fam115.jpg,https://www.flowerwyz.com/images/25th-anniversary-flowers.jpg,1000
T104-3A,P,https://www.floristone.com/flowers/products/T104-3A.jpg,https://www.flowerwyz.com/images/online-plants.jpg,1000
B20-4376,R,https://www.floristone.com/flowers/products/B20-4376.jpg,https://www.flowerwyz.com/images/1st-anniversary-flowers.jpg,1000
S47-4554,FA,https://www.floristone.com/flowers/products/S47-4554.jpg,https://www.flowerwyz.com/images/apt-sympathy-baskets.jpg,1000
AFS408,P,https://www.floristone.com/flowers/products/AFS408.jpg,https://www.flowerwyz.com/images/plants-online.jpg,1000
F1-110,R,https://www.floristone.com/flowers/products/F1-110.jpg,,1000
T16-1A,C,https://www.floristone.com/flowers/products/T16-1A.jpg,https://www.flowerwyz.com/images/cheap-centerpiece-ideas.jpg,1000
C4-4791,V,https://www.floristone.com/flowers/products/C4-4791.jpg,https://www.flowerwyz.com/images/flowers-next-day-delivery.jpg,1000
S38-4526,FB,https://www.floristone.com/flowers/products/S38-4526.jpg,https://www.flowerwyz.com/images/sympathy-gift-basket.jpg,1000
T10-2A,C,https://www.floristone.com/flowers/products/T10-2A.jpg,https://www.flowerwyz.com/images/valentine-day-flowers-delivery.jpg,1000
fam111,R,https://www.floristone.com/flowers/products/fam111.jpg,,1000
C3-4793,V,https://www.floristone.com/flowers/products/C3-4793.jpg,https://www.flowerwyz.com/images/cheap-flowers-tomorrow.jpg,1000
T235-1A,FB,https://www.floristone.com/flowers/products/T235-1A.jpg,,1000
S53-4570,P,https://www.floristone.com/flowers/products/S53-4570.jpg,https://www.flowerwyz.com/images/gift-plants.jpg,1000
AFS307,P,https://www.floristone.com/flowers/products/AFS307.jpg,https://www.flowerwyz.com/images/plants-online-delivery.jpg,1000
T38-1A,C,https://www.floristone.com/flowers/products/T38-1A.jpg,https://www.flowerwyz.com/images/floral-centerpieces.jpg,1000
fam114,R,https://www.floristone.com/flowers/products/fam114.jpg,https://www.flowerwyz.com/images/valentine-flower.jpg,1000
